y,chord,Fx,Fy,Fz,Fn,Ft,Fs,Torsion,cx,cy,cz,sx,sy,sz,nx,ny,nz,p_le_x,p_le_y,p_le_z,r_c4_x,r_c4_y,r_c4_z
0.049218666666666674,1.4975,-25.51420941752812,-10.52110344718125,330.65592847121957,-330.7754710859779,-26.077318147561595,1.6039760572669834,-6.2796615175144925,0.9999985501926593,1.0125637918069936e-05,-0.0017027947765545122,5.229281321025705e-05,0.9993280724636031,0.036652433093063215,-0.0017020217511216288,0.03665246899802584,-0.9993266231009297,0.008614,0.049214999999999995,0.0022699999999999994,0.3829884572283768,0.04921879078569557,0.0016325162055274038
0.24487000000000006,1.4877,-76.20103296731956,-31.17484818127969,980.4956515332891,-980.7740917334605,-78.79975716897577,4.79275647381365,-18.249060535423414,0.9999964891960481,3.397373444663177e-05,-0.002649611549493103,6.320162134605503e-05,0.9993275515575409,0.036666615654644866,-0.002649075524196833,0.03666665438509159,-0.9993240409672286,0.01028,0.24485,0.0094425,0.3822036942442402,0.24486263568118408,0.008457043224454777
0.6313766666666665,1.4684,-124.39330494314059,-51.02541198749533,1604.5680340453641,-1604.7755888817253,-131.71620456169296,7.8748745100750455,-27.80619446075767,0.9999895918599624,0.00010327483701613709,-0.004561305301546558,6.415622282721149e-05,0.999326640421561,0.03669143807123262,-0.004562023205218273,0.0366913488177263,-0.9993162326642208,0.01358,0.63135,0.023615,0.38067617917179214,0.6313879121926685,0.02194054482380226
1.199,1.44,-169.18095163331253,-69.73060560489844,2191.7939058072425,-2191.553534613318,-185.53440831626835,10.731520952476885,-34.54547701826983,0.9999721486672432,0.0,-0.007463369870038538,0.00027399039609799663,0.999325911130613,0.036710329230793974,-0.007458338895481026,0.03671135169086587,-0.9992980785721295,0.01842,1.199,0.044435,0.3784099735202075,1.199,0.04174818684678613
1.9344999999999999,1.4032,-208.33990857717188,-86.83257000452345,2728.1306601010547,-2726.923916962464,-239.46726504493267,13.553279047576254,-38.31599931543861,0.9999348514669899,0.000720772467197023,-0.011391808844047674,-0.00030163304115493205,0.9993243704120184,0.036752030122586626,-0.01141060205235796,0.036746199635793106,-0.999259483304076,0.02469,1.934,0.07139,0.37546714589462005,1.9342528469814926,0.06739375345750807
2.8186666666666667,1.359,-240.27836494478905,-101.42184585832032,3193.979375637915,-3191.175750767923,-292.6868742535812,16.001775797225108,-39.23907542663336,0.9998653293907693,0.00037203737596099603,-0.016406848279889027,0.0002313608800354172,0.9993240962500466,0.036759993555099256,-0.016409434921154313,0.036758838967228515,-0.999189430590291,0.03223,2.8185000000000002,0.10383,0.37193424566051386,2.818626399698483,0.09825577329690771
3.8306333333333336,1.3084,-261.0524968645782,-113.39349982783592,3561.3679715282824,-3556.3347888473468,-341.33383292221953,17.955631056423044,-36.21601789164796,0.9997457264636116,0.0007731148417522475,-0.022536297637080493,5.8209750954647354e-05,0.9993202798839202,0.03686427571983887,-0.022549479580924063,0.03685621394235808,-0.999066134179547,0.04086,3.83,0.1409,0.36787682712624736,3.8302528858647373,0.13352837704291096
4.945033333333332,1.2526,-264.7721033059921,-120.32951304051564,3784.235664252586,-3776.4716235396477,-378.0341307991346,19.37249466688371,-28.87288154584182,0.9995514779682578,0.001211450285588135,-0.0299228220540258,-0.00010688915791164578,0.9993194108807599,0.036887716270310573,-0.029947144541329233,0.036867972891610985,-0.9988713235991331,0.05037,4.9445,0.1818,0.3633795453257599,4.944879365656932,0.1724296682737818
6.134633333333334,1.1931,-240.21707997065644,-119.35435915659376,3764.3811098670008,-3754.1674132651783,-385.1519292874508,19.996835420086356,-14.226764953913078,0.9992573436504408,0.0016958265978503522,-0.03849526377120723,-0.0002713382304771071,0.9993159930064436,0.03697935230787888,-0.03853164331078391,0.03694144412033142,-0.9985743047816096,0.06051,6.134,0.2254,0.35856348417733525,6.1345058226784746,0.21391782519864316
7.3700333333333345,1.1313,-156.31861585183592,-100.89363098685938,3171.865181310984,-3162.15552481793,-309.5834277706959,16.56203374273028,21.588219468177066,0.9988302764994383,0.0013401601262560505,-0.04833510855363304,0.00045117889835942634,0.9993140196355544,0.03703088707325866,-0.048351578936547374,0.037009378955431736,-0.9981444938903766,0.07104,7.3695,0.2707,0.35353417295095363,7.3698790307877085,0.2570296229233187
