Size,Ply Rating,TT or TL,Rated Speed (MPH),Rated Load (Lbs),Rated Inflation (PSI),Maximum Braking Load (Lbs),Maximum Bottoming Load (Lbs),Tread Design / Trademark,Part Number,Outside Diameter Max (In),Outside Diameter Min (In),Section Width Max (In),Section Width Min (In),Shoulder Diameter Max (In),Shoulder Width Max (In),Static Loaded Radius (In),Flat Tire Radius (In),Aspect Ratio,Wheel (Rim) Size,Width Between Flanges (In),Specified Rim Diameter (In),Flange Height (In),Min Ledge Width (In)
6.00-6,8,TT,120,2350,55,3410,6300,Flight Special II,606C81B1,17.5,16.8,6.3,5.9,15.45,5.35,6.9,4.80,0.913,6.00-6,5.00,6,0.75,0.90
6.00-6,8,TL,160,2350,55,3410,6300,Aircraft Rib,461B-2297-TL,17.5,16.8,6.3,5.9,15.45,5.35,6.9,4.80,0.913,6.00-6,5.00,6,0.75,0.90
6.00-6,8,TT,160,2350,55,3410,6300,Flight Special II,606C86-3,17.5,16.8,6.3,5.9,15.45,5.35,6.9,4.80,0.913,6.00-6,5.00,6,0.75,0.90
6.00-6,8,TT,160,2350,55,3410,6300,Flight Custom III,"606C86-6 / 606T86-3",17.5,16.8,6.3,5.9,15.45,5.35,6.9,4.80,0.913,6.00-6,5.00,6,0.75,0.90
6.00-6.5/420x150,4,TT,120,1750,45,2540,4725,Aircraft Rib,607C41-2,17.3,16.8,5.9,5.6,15.25,5,6.95,4.90,0.916,6.00-6.5,3.79,6.5,0.72,0.75
6.50-8,6,TT,160,2300,51,3340,6200,Flight Custom III,658C66-2,19.85,19.15,6.9,6.35,17.7,5.85,8,5.90,0.867,6.50-8,5.25,8,0.81,0.95
6.50-8,8,TT,120,3150,75,4570,8500,Flight Special II,658C81-3,19.85,19.15,6.9,6.35,17.7,5.85,8,5.90,0.867,6.50-8,5.25,8,0.81,0.95
6.50-8,8,TL,139K,3150,75,4570,8500,Aircraft Rib,461B-2145-TL,19.85,19.15,6.9,6.35,17.7,5.85,8,5.90,0.867,6.50-8,5.25,8,0.81,0.95
6.50-8,8,TT,160,3150,75,4570,8500,Flight Custom III,658C86-4,19.85,19.15,6.9,6.35,17.7,5.85,8,5.90,0.867,6.50-8,5.25,8,0.81,0.95
6.50-8,8,TL,160,3150,75,4570,8500,Flight Custom III,658T86-3,19.85,19.15,6.9,6.35,17.7,5.85,8,5.90,0.867,6.50-8,5.25,8,0.81,0.95
6.50-10,6,TL,160,2770,60,4020,7500,Flight Custom III,650T66-3,22.1,21.35,6.65,6.25,19.9,5.65,9.1,6.90,0.908,6.50-10,4.75,10,0.81,0.95
6.50-10,8,TT,120,3750,80,5440,10100,Flight Special II,650C81-5,22.1,21.35,6.65,6.25,19.9,5.65,9.1,7.10,0.908,6.50-10,4.75,10,0.81,1.10
6.50-10,8,TT,160,3750,80,5440,10100,Flight Custom III,650C86-3,22.1,21.35,6.65,6.25,19.9,5.65,9.1,7.10,0.908,6.50-10,4.75,10,0.81,0.95
6.50-10,10,TT,160,4750,100,6890,12800,Flight Custom III,650C06-3,22.1,21.35,6.65,6.25,19.9,5.65,9.1,7.10,0.908,6.50-10,4.75,10,0.81,1.10
6.50-10,10,TL,160,4750,100,6890,12800,Aircraft Rib,"650Y0A-1 / 461B-2058-TL",22.1,21.35,6.65,6.25,19.9,5.65,9.1,7.10,0.908,6.50-10,4.75,10,0.81,1.10
6.50-10,12,TL,160,5750,120,8340,15500,Flight Special II,650T26-2,22.1,21.35,6.65,6.25,19.9,5.65,9.1,7.10,0.908,6.50-10,4.75,10,0.81,1.10
6.50-10,14,TL,160K,7738,159,11600,23200,Aircraft Rib,650G4KG1,22.1,21.35,6.65,6.25,19.9,5.65,9.1,7.10,0.908,6.50-10,4.75,10,0.81,1.10
6.50-10,14,TL,174K,7738,159,11600,23200,Aircraft Rib,650G4EG1,22.1,21.35,6.65,6.25,19.9,5.65,9.1,7.10,0.908,6.50-10,4.75,10,0.81,1.10
7.00-6,6,TT,120,1900,38,2760,5100,Flight Special II,706C61-4,18.75,18,7,6.45,16.45,5.95,7.3,4.80,0.920,6.00-6,5.00,6,0.75,0.70
7.00-6,6,TT,160,1900,38,2760,5100,Flight Custom III,706C66-3,18.75,18,7,6.45,16.45,5.95,7.3,4.80,0.920,6.00-6,5.00,6,0.75,0.70
7.00-6,8,TT,160,2550,54,3700,6900,Flight Custom III,706C86-3,18.75,18,7,6.45,16.45,5.95,7.3,4.80,0.920,6.00-6,5.00,6,0.75,0.90
7.00-6,10,TL,160,3600,73,5225,9700,Flight Custom II,706T01-1,18.75,18,7,6.45,16.45,5.95,7.3,4.80,0.920,6.00-6,5.00,6,0.75,0.90
7.00-8,10,TL,120,4500,84,6750,12150,Rib All Weather,708C01-1,20.85,20.1,7.3,6.84,18.54,6.19,8.35,5.90,0.882,7.00-8,5.50,8,0.81,1.30
7.00-8,16,TL,130K,6650,125,9640,18000,Aircraft Rib,461B-3294-TL,20.85,20.1,7.3,6.84,18.54,6.19,8.35,6.30,0.882,7.00-8,5.50,8,0.81,1.30
7.50-14,12,TL,160,8700,130,12620,23500,Aircraft Rib,754C26-2,27.75,27,7.65,7.19,25.29,6.5,11.64,9.10,0.901,7.50-14,5.50,14,0.81,1.65
8.00-4,4,TT,120,1100,24,1600,3000,Aircraft Rib,804C41-1,18,17.15,8.3,7.8,15.5,7.05,6.65,3.80,0.842,8.00-4,5.50,4,0.69,0.61
8.00-6,6,TT,120,2050,35,2970,5500,Flight Special II,806C61-5,19.5,18.75,7.95,7.35,17.04,6.75,7.55,4.80,0.857,6.00-6,5.00,6,0.75,0.85
8.00-6,8,TT,120,2800,48,4060,7600,Flight Special II,806C81-2,19.5,18.75,7.95,7.35,17.04,6.75,7.55,4.80,0.857,6.00-6,5.00,6,0.75,0.85
8.50-6,6,TL,120,2275,30,3300,6100,Aircraft Rib,856T61-1,22.1,21.15,8.85,8.3,19.2,7.5,8.39,5.00,0.911,8.50-6,6.00,6,0.88,0.90
8.50-10,8,TT,160,4400,55,6380,11900,Flight Custom III,850C86-2,25.65,24.7,8.7,8.2,22.79,7.4,10.19,6.90,0.898,8.50-10,6.25,10,0.81,1.35
8.50-10,8,TL,160,4400,55,6380,11900,Flight Custom III,850T86-2,25.65,24.7,8.7,8.2,22.79,7.4,10.19,6.90,0.898,8.50-10,6.25,10,0.81,1.35
8.50-10,10,Both,120,5500,70,7980,14800,Aircraft Rib,"850H0A-1 / 461B-3332-TL",25.65,24.7,8.7,8.2,22.79,7.4,10.19,6.90,0.898,8.50-10,6.25,10,0.81,1.35
8.50-10,10,TL,160,5500,70,7980,14800,Flight Custom III,850T06-3,25.65,24.7,8.7,8.2,22.79,7.4,10.19,6.90,0.898,8.50-10,6.25,10,0.81,1.35
8.50-10,12,TL,139K,8000,100,11600,21600,Aircraft Rib,461B-3388-TL,25.65,24.7,8.7,8.2,22.79,7.4,10.19,7.10,0.898,8.50-10,6.25,10,0.81,1.50
8.50-10,14,TL,120,8700,110,12600,23500,Aircraft Rib,850G4A-1,25.65,24.7,8.7,8.2,22.79,7.4,10.19,7.10,0.898,8.50-10,6.25,10,0.81,1.15
8.50-10,16,TL,104K,9900,129,14900,26700,Flight Custom II,850G6A-1,25.65,24.7,8.7,8.2,22.79,7.4,10.19,7.59,0.898,8.50-10,6.25,10,1.13,
8.90-12.50,6,TL,160,4300,50,6090,11300,Rib All Weather,892C61B1,27.7,27.3,9,8.67,24.95,7.65,11.35,8.00,0.848,8.90-12.50,6.75,12.5,0.88,1.20
8.90-12.50,6,TL,160,4300,50,6090,11300,Aircraft Rib,892C66B1,27.7,27.3,9,8.67,24.95,7.65,11.35,8.00,0.848,8.90-12.50,6.75,12.5,0.88,1.20
9.00-6,10,TL,120,4500,58,6530,12100,Aircraft Rib,906T06-1,22.4,21.4,9.25,8.55,19.45,7.84,8.5,5.10,0.893,9.00-6,6.75,6,0.88,1.45
9.25-12,8,TL,160,5600,60,8120,15100,Flight Leader,922C86T1,28.2,27.4,9.5,9,25.29,8.1,11.44,8.10,0.853,9.25-12,7.00,12,0.88,1.12
9.25-12/28x9.00-12,12,TL,160,8850,100,12800,23800,Aircraft Rib,982T26G1,28.3,27.4,9.4,8.9,25.35,8,11.39,8.00,0.865,28x9.0-12,6.63,12,0.75,1.50
11.00-12,10,TL,160,8200,60,11890,22100,Aircraft Rib,112T06-3,32.2,31,11.2,10.5,28.55,9.5,12.69,8.10,0.902,11.00-12,8.25,12,1.00,1.40
12.50-16,10,TL,160,10600,60,15370,28600,Aircraft Rib,126G06G1,38.45,37.5,12.75,12,34.4,10.85,15.6,10.50,0.888,12.50-16,10.00,16,1.25,1.80
12.50-16,12,TL,160,12800,75,18560,34600,Aircraft Rib,461B-1876-TL,38.45,37.5,12.75,12,34.4,10.85,15.6,10.90,0.888,12.50-16,10.00,16,1.25,1.90
15.00-12,14,TL,160,12700,65,18410,34300,Aircraft Rib,152T46-1,36.3,35.35,14.7,13.95,31.95,12.5,14.1,8.39,0.832,15.00-12,11.00,12,1.00,2.50
15.00-16,10,TL,160,12200,53,17690,32900,Aircraft Rib,156G06G1,42.4,41.4,15.3,14.4,37.65,13,16.8,10.60,0.871,15.00-16,11.25,16,1.19,1.75
15.00-16,16,TL,160,19700,80,28560,53200,Aircraft Rib,156T66G1,42.4,41.4,15.3,14.4,37.65,13,16.89,11.00,0.871,16.00-16,11.25,16,1.38,1.90
17.00-16,12,TT,160,16000,60,23200,43200,Aircraft Rib,176C26B1,45.05,43.7,17.4,16.35,39.79,14.8,17.7,11.00,0.841,17.00-16,13.25,16,1.38,2.00
20.00-20,26,TL,174K,46500,125,67420,125600,Aircraft Rib,461B-2598-TL,56,54.3,20.1,19.2,49.5,17.1,22.1,13.80,0.893,20.00-20,15.50,20,2.00,3.50
