cos(quarter chord),lifting surface correction
0.5061083850898016,0.8149514347765814
0.5196689982035699,0.8241486068111455
0.5316540369682169,0.8324885843789775
0.5444247784386487,0.8419325270635284
0.5560305788901998,0.8518024344923287
0.5699649513583327,0.861244859294857
0.5827356928287647,0.8706888019794078
0.5969614270623149,0.8799837461300309
0.6160234917758831,0.8958897043070602
0.6290999545900815,0.9062799316112933
0.6422237510988801,0.9164086687306502
0.6558725377656651,0.926291340931145
0.6686432792360969,0.9357352836156958
0.6814133656959389,0.94539144973136
0.6946702069003681,0.9544286308396099
0.7069558311526876,0.9639609999537914
0.7198776015766446,0.9747402184125811
0.733649755180068,0.9864728986645719
0.7471758778768751,0.9935400617434719
0.7592036216069687,1.0013485345577209
0.7719771757333254,1.0098811767226348
0.7853746680022038,1.01625786071052
0.7977303060964283,1.0230311181817582
0.8103127905053649,1.0306345278952829
0.8230935536378214,1.0368314520837971
0.833791819768261,1.0391305392541934
0.8488678055086338,1.0431380250450533
0.8613266527698624,1.0489093233522788
0.8742445532861489,1.052564282443678
0.8870342900636865,1.0558537456259374
0.8999313667016369,1.0557830044822327
0.9126245712934946,1.058930985377083
0.9254221681981105,1.0596737673859802
0.938222057639791,1.0596737673859802
0.9510231479342195,1.0592846910956055
0.9638146314066636,1.0620082251282288
0.9766099357742151,1.0634937891460232
0.9894072051735361,1.0643426828704774
0.9989153083624418,1.0626724735455846
