cf/c (landing),dCdp (landing),cf/c (take-off),dCdp (take-off)
0.10048448391702364,0.0765432098765432,0.10057319223985892,0.0034979423868312653
0.10901308054085834,0.08518518518518517,0.11308631477282274,0.004526748971193428
0.11959561602418747,0.09485596707818927,0.12636736793482828,0.0057613168724279795
0.13121955572352398,0.10617283950617282,0.1404058536995045,0.006378600823045255
0.14283562190308222,0.11687242798353906,0.15163821701520117,0.006995884773662531
0.15497239019064418,0.12839506172839507,0.1666971109431427,0.007613168724279862
0.16815318720080627,0.14176954732510286,0.1817665028974553,0.009053497942386801
0.17900132275132277,0.1522633744855967,0.1965729192911733,0.00987654320987652
0.18986258083480304,0.16378600823045267,0.2180224867724868,0.011522633744855904
0.20124454102628705,0.17613168724279837,0.23640033173763336,0.012345679012345623
0.21467256655748718,0.18888888888888888,0.2558195809187873,0.01481481481481478
0.22295131015369113,0.19794238683127574,0.27419742588393387,0.0156378600823045
0.23432539682539683,0.20967078189300412,0.2890117157974301,0.017078189300411495
0.24700386327370455,0.2236625514403292,0.2997364995380869,0.017901234567901214
