mass [kg],rivet spacing [mm],stringer type,skin thickness [mm],stringer thickness [mm],stringer cross-section area [mm2],frame cross-section area [mm2],stringer pitch [mm],frame pitch [mm],stringer/frame material,skin material,stress margin [%]
24.798645627503046,33.02052503682091,z,0.3,0.8,35.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
24.798645627503046,33.02052503682091,j,0.3,0.8,35.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
24.798645627503046,33.02052503682091,z,0.3,0.9000000000000001,35.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
24.798645627503046,33.02052503682091,formed z,0.3,0.8,35.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
24.798645627503046,33.02052503682091,j,0.3,0.9000000000000001,35.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
24.798645627503046,33.02052503682091,formed z,0.3,0.9000000000000001,35.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
25.10358455146566,33.02052503682091,j,0.3,0.8,35.0,20.0,200.0,399.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
25.10358455146566,33.02052503682091,z,0.3,0.9000000000000001,35.0,20.0,200.0,399.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
25.10358455146566,33.02052503682091,formed z,0.3,0.9000000000000001,35.0,20.0,200.0,399.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
25.10358455146566,33.02052503682091,z,0.3,0.8,35.0,20.0,200.0,399.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
25.10358455146566,33.02052503682091,formed z,0.3,0.8,35.0,20.0,200.0,399.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
25.10358455146566,33.02052503682091,j,0.3,0.9000000000000001,35.0,20.0,200.0,399.99999999999994,AA2024-T3,AA2024-T3,2919.455291421721
25.40852347542827,33.02052503682091,formed z,0.3,0.8,35.0,20.0,200.0,350.0,AA2024-T3,AA2024-T3,2919.455291421721
25.40852347542827,33.02052503682091,formed z,0.3,0.9000000000000001,35.0,20.0,200.0,350.0,AA2024-T3,AA2024-T3,2919.455291421721
25.40852347542827,33.02052503682091,z,0.3,0.8,35.0,20.0,200.0,350.0,AA2024-T3,AA2024-T3,2919.455291421721
25.40852347542827,33.02052503682091,j,0.3,0.8,35.0,20.0,200.0,350.0,AA2024-T3,AA2024-T3,2919.455291421721
25.40852347542827,33.02052503682091,j,0.3,0.9000000000000001,35.0,20.0,200.0,350.0,AA2024-T3,AA2024-T3,2919.455291421721
25.40852347542827,33.02052503682091,z,0.3,0.9000000000000001,35.0,20.0,200.0,350.0,AA2024-T3,AA2024-T3,2919.455291421721
25.705086346253044,33.67437300557709,z,0.3,0.9000000000000001,35.0,20.0,180.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,3269.4126175796414
25.705086346253044,33.67437300557709,formed z,0.3,0.8,35.0,20.0,180.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,3269.4126175796414
25.705086346253044,33.67437300557709,z,0.3,0.8,35.0,20.0,180.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,3269.4126175796414
25.705086346253044,33.67437300557709,formed z,0.3,0.9000000000000001,35.0,20.0,180.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,3269.4126175796414
25.705086346253044,33.67437300557709,j,0.3,0.8,35.0,20.0,180.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,3269.412617579642
25.705086346253044,33.67437300557709,j,0.3,0.9000000000000001,35.0,20.0,180.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,3269.412617579642
26.007233252503042,33.88951910531061,j,0.3,0.8,40.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,3247.710747225235
26.007233252503042,33.88951910531061,z,0.3,0.8,40.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,3247.710747225235
26.007233252503042,33.88951910531061,formed z,0.3,0.9000000000000001,40.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,3247.7107472252355
26.007233252503042,33.88951910531061,z,0.3,0.9000000000000001,40.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,3247.710747225235
26.007233252503042,33.88951910531061,formed z,0.3,0.8,40.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,3247.710747225235
